sez,LST_2025,densita_viaria_km_kmq
425,41.76,78.015
426,42.29,78.212
427,42.17,32.114
428,42.16,17.235
429,42.17,15.948
430,42.07,27.215
431,41.63,42.215
432,41.53,11.794
433,41.55,40.609
434,42.0,84.999
435,42.08,64.385
436,42.25,67.46
437,42.21,13.937
438,42.36,53.307
439,42.31,67.867
440,42.08,62.247
441,42.05,34.957
442,42.06,22.706
443,41.93,33.294
444,42.06,78.898
445,42.17,89.182
446,42.2,75.729
447,42.24,59.956
448,41.76,48.227
449,41.55,102.734
450,42.16,18.967
451,42.52,71.793
452,42.24,36.165
453,42.07,4.196
454,41.66,69.121
455,41.98,26.508
456,42.19,34.716
457,42.19,40.625
458,42.56,45.789
459,42.25,49.334
460,42.49,56.406
461,42.54,54.053
462,,73.466
463,42.69,32.118
464,42.59,22.591
465,42.39,21.309
466,41.95,86.309
467,42.29,42.978
468,41.99,75.052
469,42.36,52.712
470,42.06,0.224
471,42.1,21.337
472,41.71,31.371
473,41.7,10.854
474,41.42,37.035
475,41.44,26.53
476,41.66,46.329
477,41.37,54.374
478,41.7,55.095
479,41.89,49.566
480,41.89,75.177
481,41.95,57.257
482,41.5,59.324
483,41.68,70.309
484,41.78,15.009
485,41.98,25.389
486,41.99,15.004
487,41.92,34.909
488,41.89,66.252
489,41.86,75.696
490,41.91,73.594
491,41.86,43.447
492,42.13,28.936
493,41.9,27.05
494,41.78,34.716
495,41.62,46.249
496,41.41,27.935
497,42.08,47.428
498,42.52,56.401
499,42.49,31.12
500,42.47,28.417
501,42.44,44.414
502,42.42,21.432
503,42.39,71.357
504,42.34,68.033
506,41.85,40.826
507,42.48,39.258
508,42.57,100.917
509,42.45,91.623
510,42.75,25.827
511,42.64,78.09
512,42.17,55.974
513,42.2,37.413
514,41.41,12.513
515,41.96,0.0
516,41.13,21.779
517,,31.777
518,42.11,55.305
519,41.82,41.252
520,42.33,59.093
521,42.39,0.0
522,42.44,79.496
523,42.14,17.667
524,42.13,30.192
525,42.28,86.92
526,41.47,35.725
527,41.27,44.984
528,,21.261
529,42.06,17.033
530,41.86,37.484
531,41.58,4.736
532,41.99,109.735
533,,37.536
534,41.88,83.34
535,41.82,37.275
536,41.47,74.76
537,40.79,9.57
538,41.27,17.328
539,41.96,10.179
540,42.02,26.818
541,41.01,0.0
542,41.43,14.107
543,41.54,73.799
544,40.68,24.43
545,41.08,22.079
546,40.82,57.114
547,41.93,31.067
548,41.96,38.4
549,41.62,69.434
550,41.58,10.115
551,41.96,24.397
552,42.1,23.775
553,41.96,14.323
554,41.87,29.145
555,41.54,36.981
556,41.59,15.233
557,40.96,47.742
558,41.11,36.944
559,41.46,38.028
560,41.61,55.591
561,41.94,28.186
562,42.33,7.385
563,41.87,14.535
564,41.57,35.345
565,41.79,53.86
566,41.7,0.0
567,41.02,26.119
568,41.79,32.577
569,41.6,62.62
570,40.66,24.627
571,40.47,20.014
572,40.83,36.469
573,40.22,18.833
574,40.23,32.542
575,41.0,42.697
576,40.15,25.886
577,40.96,26.982
578,42.05,18.292
579,42.28,19.398
580,42.42,27.361
581,41.93,22.581
582,42.17,18.382
583,41.29,44.746
584,41.39,35.154
585,42.14,48.882
586,42.6,17.244
587,42.93,44.754
588,42.81,24.26
589,42.86,22.332
590,42.66,38.349
591,42.45,46.212
592,42.94,40.295
593,42.88,40.801
594,42.64,22.941
595,42.87,33.698
596,42.43,44.614
597,42.34,26.025
598,42.15,24.511
599,42.01,23.876
600,41.9,19.205
601,41.65,11.092
602,41.6,28.626
603,42.05,27.803
604,42.37,3.523
605,42.54,0.335
606,42.53,32.1
607,42.72,15.87
608,42.66,35.183
609,42.84,26.961
610,42.74,55.109
611,42.57,62.008
612,43.38,62.953
613,42.92,19.96
614,42.82,21.042
615,42.24,45.249
616,41.64,7.021
617,41.52,20.752
618,42.59,37.421
619,42.78,62.456
620,41.62,42.871
621,41.68,23.446
622,41.7,26.094
623,41.01,14.946
624,43.13,36.933
625,43.74,16.767
626,43.97,32.539
627,43.77,41.182
628,43.91,18.667
629,42.47,0.0
630,42.84,21.041
631,42.86,33.297
632,43.18,6.565
633,43.69,10.234
634,43.48,38.431
635,43.36,41.515
636,41.74,15.473
637,42.41,21.875
638,42.48,22.172
639,41.16,25.291
640,41.27,41.591
641,40.88,41.332
642,42.47,16.188
643,40.56,22.937
644,40.5,29.477
645,41.0,41.457
646,41.85,27.859
647,41.6,30.261
648,39.87,0.0
649,37.84,0.0
650,39.4,0.0
651,40.58,1.803
653,38.99,10.088
654,39.64,4.548
655,42.4,17.057
656,41.95,13.491
657,40.67,36.794
658,40.79,14.462
659,42.42,8.651
660,43.05,45.818
661,42.23,16.694
662,42.52,36.747
663,41.98,23.739
664,42.38,22.502
665,41.68,39.321
666,41.9,6.212
667,41.85,36.306
668,41.12,22.308
669,41.67,26.1
670,41.51,46.419
671,41.61,16.112
672,42.13,8.609
673,42.43,27.771
674,40.91,16.849
675,42.65,14.175
676,42.02,8.955
677,42.84,38.086
678,42.29,9.555
679,41.59,31.179
680,41.86,16.891
681,42.02,11.046
682,41.7,15.339
683,41.55,33.728
684,41.58,45.656
685,40.37,24.248
686,41.68,41.666
687,42.13,18.124
688,42.81,21.881
689,42.92,79.877
690,42.31,63.826
691,42.29,46.579
692,41.83,73.359
693,41.67,62.849
694,40.48,24.569
695,41.11,27.273
696,40.05,5.568
697,41.35,28.874
698,42.38,50.352
699,42.05,60.051
700,41.16,30.734
701,41.57,16.691
703,41.74,47.779
704,42.32,13.602
705,42.57,37.797
706,41.39,1.535
707,41.25,38.357
708,41.35,22.666
709,41.59,104.437
710,41.31,28.854
711,41.11,28.856
712,41.53,38.282
713,41.52,17.184
714,42.02,30.949
715,42.75,35.176
716,41.17,28.445
717,41.24,44.181
718,41.48,14.241
719,41.7,45.106
720,41.74,45.24
721,42.02,29.351
722,41.86,11.846
723,41.7,10.623
724,42.0,16.358
725,41.82,33.408
726,41.86,3.814
727,39.98,1.997
728,41.69,8.167
729,42.0,22.865
730,41.6,35.214
731,41.87,36.865
732,41.57,51.045
733,41.74,25.55
734,41.23,44.595
735,42.3,19.532
736,41.01,15.823
737,41.54,8.003
738,39.87,12.981
739,41.53,29.963
740,40.89,8.897
741,41.07,17.811
